ticker,Date,Open,Close*,delta,delta_bin
ALXN,"Nov 18, 2020",127.39,123.47,-3.9200000000000017,down
ALXN,"Nov 17, 2020",127.82,127.69,-0.12999999999999545,down
ALXN,"Nov 16, 2020",127.51,127.81,0.2999999999999972,up
ALXN,"Nov 13, 2020",125.96,127.76,1.8000000000000114,up
ALXN,"Nov 12, 2020",127.72,125.6,-2.1200000000000045,down
ALXN,"Nov 11, 2020",127.2,127.62,0.4200000000000017,up
ALXN,"Nov 10, 2020",124.0,127.09,3.0900000000000034,up
ALXN,"Nov 09, 2020",127.05,124.88,-2.1700000000000017,down
ALGN,"Nov 20, 2020",443.39,446.45,3.0600000000000023,up
ALGN,"Nov 19, 2020",443.54,441.35,-2.1899999999999977,down
ALGN,"Nov 18, 2020",449.06,444.61,-4.449999999999988,down
ALGN,"Nov 17, 2020",452.0,451.38,-0.6200000000000045,down
ALGN,"Nov 16, 2020",463.24,457.17,-6.069999999999991,down
ALGN,"Nov 13, 2020",455.77,457.26,1.4900000000000089,up
ALGN,"Nov 12, 2020",455.72,452.76,-2.9600000000000364,down
ALGN,"Nov 11, 2020",464.7,461.78,-2.920000000000016,down
ALGN,"Nov 10, 2020",484.48,464.32,-20.160000000000025,down
ALGN,"Nov 09, 2020",501.0,476.99,-24.00999999999999,down
ALLE,"Nov 20, 2020",113.95,113.0,-0.9500000000000028,down
ALLE,"Nov 19, 2020",113.9,114.13,0.2299999999999897,up
ALLE,"Nov 18, 2020",115.88,114.56,-1.3199999999999932,down
ALLE,"Nov 17, 2020",116.88,115.46,-1.4200000000000017,down
ALLE,"Nov 16, 2020",116.45,118.26,1.8100000000000025,up
ALLE,"Nov 13, 2020",111.0,114.0,3.0,up
ALLE,"Nov 12, 2020",111.62,110.15,-1.4699999999999989,down
ALLE,"Nov 11, 2020",118.34,112.36,-5.980000000000004,down
ALLE,"Nov 10, 2020",112.58,115.15,2.5700000000000074,up
ALLE,"Nov 09, 2020",106.25,111.87,5.6200000000000045,up
LNT,"Nov 20, 2020",52.52,52.87,0.3499999999999943,up
LNT,"Nov 19, 2020",53.6,52.47,-1.1300000000000026,down
LNT,"Nov 18, 2020",54.98,53.06,-1.9199999999999944,down
LNT,"Nov 17, 2020",56.23,54.73,-1.5,down
LNT,"Nov 16, 2020",57.01,56.44,-0.5700000000000003,down
LNT,"Nov 13, 2020",56.51,56.2,-0.3099999999999952,down
LNT,"Nov 12, 2020",57.17,56.13,-1.0399999999999991,down
LNT,"Nov 11, 2020",57.17,57.42,0.25,up
LNT,"Nov 10, 2020",56.41,56.96,0.5500000000000043,up
LNT,"Nov 09, 2020",56.41,56.63,0.220000000000006,up
ALL,"Nov 20, 2020",100.35,100.18,-0.1699999999999875,down
ALL,"Nov 19, 2020",99.2,100.37,1.1700000000000017,up
ALL,"Nov 18, 2020",99.56,100.07,0.5099999999999909,up
ALL,"Nov 17, 2020",98.06,99.37,1.3100000000000025,up
ALL,"Nov 16, 2020",98.49,98.06,-0.4299999999999926,down
ALL,"Nov 13, 2020",95.19,96.71,1.5199999999999958,up
ALL,"Nov 12, 2020",94.16,94.81,0.6500000000000057,up
ALL,"Nov 11, 2020",95.11,94.37,-0.7399999999999949,down
ALL,"Nov 10, 2020",94.79,94.44,-0.3500000000000085,down
ALL,"Nov 09, 2020",96.63,93.89,-2.7399999999999958,down
GOOGL,"Nov 20, 2020",1762.0,1736.38,-25.61999999999989,down
GOOGL,"Nov 19, 2020",1733.23,1758.57,25.339999999999925,up
GOOGL,"Nov 18, 2020",1756.64,1740.64,-16.0,down
GOOGL,"Nov 17, 2020",1767.86,1761.66,-6.199999999999817,down
GOOGL,"Nov 16, 2020",1764.14,1774.03,9.889999999999874,up
GOOGL,"Nov 13, 2020",1748.0,1772.26,24.25999999999999,up
GOOGL,"Nov 12, 2020",1742.0,1742.82,0.8199999999999363,up
GOOGL,"Nov 11, 2020",1748.4,1747.23,-1.1700000000000728,down
GOOGL,"Nov 10, 2020",1729.77,1737.72,7.9500000000000455,up
GOOGL,"Nov 09, 2020",1795.98,1761.42,-34.559999999999945,down
GOOG,"Nov 20, 2020",1765.21,1742.19,-23.019999999999985,down
GOOG,"Nov 19, 2020",1738.38,1763.92,25.539999999999967,up
GOOG,"Nov 18, 2020",1765.23,1746.78,-18.45000000000005,down
GOOG,"Nov 17, 2020",1776.94,1770.15,-6.7899999999999645,down
